,index,sentence,label
0,1404,"['وارتفع', 'عدد', 'العاطلين', 'عن', 'العمل', 'الذين', 'يحصلون', 'على', 'إعانات', 'بطالة', 'بواقع', '2000', 'في', 'يوليو', '/', 'تموز', 'وهو', 'عدد', 'أقل', 'من', 'المتوقع', 'لتظل', 'النسبة', 'عند', '3%']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1,947,"['وقال', 'السفير', 'الاميركي', 'في', 'الامم', 'المتحدة', 'جون', 'بولتون', 'لشبكة', '""', 'سي', 'ان', 'ان', '""', 'التلفزيونية', 'الاميركية', ':', '""', 'ندرس', 'امكان', 'تشكيل', 'قوة', 'متعددة', 'الجنسية', 'قد', 'تحصل', 'على', 'موافقة', 'مجلس', 'الامن', 'الدولي', '،', 'ولكنها', 'لن', 'تكون', 'قوة', 'سلام', 'دولية', '""']","['O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'B-PERS', 'I-PERS', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2,859,"['وفي', 'هذه', 'الأثناء', '،', 'أصبح', 'عمل', 'أينشتاين', 'في', 'مكتب', 'التسجيل', 'السويسري', 'دائماً', '،', 'وقام', 'بالحضير', 'لرسالة', 'الدكتوراه', 'في', 'نفس', 'الفترة', '،', 'وتمكن', 'من', 'الحصول', 'على', 'شهادة', 'الدكتوراه', 'في', 'العام', '1905', 'من', 'جامعة', 'زيورخ', '،', 'وكان', 'موضوع', 'الرسالة', 'يدور', 'حول', 'أبعاد', 'الجزيئات']","['O', 'O', 'O', 'O', 'O', 'O', 'B-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
3,122,"['وقال', 'ان', 'الحزب', 'يدير', 'هذه', 'المعركة', 'بروية', 'وهدوء', 'ودون', 'انفعال', 'وان', 'كل', 'شيء', 'محسوب']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
4,1515,"['مع', 'إعادة', 'انتخابه', 'للمرة', 'الثانية', 'عام', '2004', 'كانت', 'الأحزاب', 'الليبرالية', 'تعيش', 'حالة', 'من', 'الفوضى', 'لأنها', 'لم', 'تأخذ', 'الوقت', 'الكافي', 'للتعافي', 'من', 'الهزيمة', 'التي', 'منيت', 'بها', 'في', 'الانتخابات', 'البرلمانية']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5,2672,"['كانت', 'مباراة', 'هادئة', 'وسلسة']","['O', 'O', 'O', 'O']"
6,3473,"['كافو', 'مع', 'رئيس', 'الاتحاد', 'الدولي', 'لكرة', 'القدم', 'سيب', 'بلاتر', 'قبيل', 'كأس', 'العالم', 'الأخيرة', '(', 'رويترز', ')', 'أعرب', 'النجم', 'البرازيلي', 'كافو', 'عن', 'رغبته', 'في', 'العودة', 'للعب', 'مجددا', 'مع', 'منتخب', 'بلاده', 'لكرة', 'القدم', 'وذلك', 'بعد', 'نحو', 'شهرين', 'من', 'فشل', 'الفريق', 'في', 'الاحتفاظ', 'بلقبه', 'العالمي', 'عندما', 'خرج', 'أمام', 'فرنسا', 'من', 'ربع', 'نهائي', 'كأس', 'العالم', 'الأخيرة', 'التي', 'استضافتها', 'ألمانيا', 'وفازت', 'بها', 'إيطاليا']","['B-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERS', 'I-PERS', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-LOC']"
7,1546,"['وأضاف', 'أن', 'هناك', 'جثثا', 'لآدميين', ',', 'وحيوانات', 'غارقة', 'في', 'المياه', ',', 'مما', 'يهدد', 'بتفشي', 'الأمراض', 'بشكل', 'كبير', ',', 'داعيا', 'وكالات', 'الإغاثة', 'والمجتمع', 'الدولي', 'إلي', 'تقديم', 'ما', 'في', 'استطاعتها', 'من', 'إمدادات', 'طبية', ',', 'أو', 'طعام', ',', 'أو', 'مياه', 'نظيفة', ',', 'أو', 'بطاطين']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
8,1532,"['وكان', 'يلتسين', 'إصلاحياً', 'حاول', 'بناء', 'رأسمالية', 'فعّالة', 'يمكنها', 'أن', 'تكون', 'أي', 'شيء', 'إلاّ', 'أن', 'تكون', 'فعّالة']","['O', 'B-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
9,2957,"['5', '""', '(', 'Activprimary', '2']","['O', 'O', 'O', 'O', 'O']"
